k_removed,brier,n_features_remaining
1,0.17426162641051662,75
2,0.17455152787117625,74
3,0.1737764753694315,73
4,0.17334797521182013,72
5,0.17359677014046188,71
6,0.1742113236853559,70
7,0.17407464346102514,69
8,0.1732312099324767,68
9,0.17319776859361594,67
10,0.17339107989552427,66
11,0.17338074712069992,65
12,0.17357356310483743,64
13,0.17249802411763798,63
14,0.17211657047442608,62
15,0.17254259240167794,61
16,0.17303043766645337,60
17,0.17258943931186121,59
18,0.17215750817934367,58
19,0.17199137931255654,57
20,0.17262408645026894,56
21,0.17316305151258146,55
22,0.17292839565849252,54
23,0.1731831341552546,53
24,0.1731294454962788,52
25,0.17313405992333847,51
26,0.17351876094483815,50
27,0.17289278118665868,49
28,0.1731988811467169,48
29,0.17320704453896899,47
30,0.17420584271970602,46
31,0.17274188488869016,45
32,0.17257078227887068,44
33,0.17322705336938016,43
34,0.17234857958712274,42
35,0.1719925308444452,41
36,0.17239931085925597,40
37,0.17320250652069846,39
38,0.1720032115641102,38
39,0.17177223254382698,37
40,0.17262047197387106,36
41,0.17182947902458773,35
42,0.17260320314197505,34
43,0.17260025105402704,33
44,0.17314627742350724,32
45,0.17241354295351255,31
46,0.17305360611225967,30
47,0.1728325831332831,29
48,0.17336926366563146,28
49,0.1739481935771625,27
50,0.17267826298112282,26
51,0.17350400731540108,25
52,0.1728802260688317,24
53,0.1733311886424937,23
54,0.1736464638344225,22
55,0.173413762120933,21
56,0.17603970441902494,20
